year,emissions
03-1958,316.18
04-1958,317.28
05-1958,317.84
06-1958,317.26
07-1958,315.92
08-1958,314.06
09-1958,312.49
10-1958,312.42
11-1958,313.58
12-1958,314.74
01-1959,315.59
02-1959,316.25
03-1959,316.98
04-1959,318.08
05-1959,318.64
06-1959,318.06
07-1959,316.73
08-1959,314.89
09-1959,313.34
10-1959,313.31
11-1959,314.51
12-1959,315.7
01-1960,316.58
02-1960,317.26
03-1960,318.04
04-1960,319.15
05-1960,319.67
06-1960,319.05
07-1960,317.67
08-1960,315.76
09-1960,314.15
10-1960,314.07
11-1960,315.21
12-1960,316.36
01-1961,317.21
02-1961,317.88
03-1961,318.63
04-1961,319.74
05-1961,320.31
06-1961,319.73
07-1961,318.39
08-1961,316.52
09-1961,314.96
10-1961,314.91
11-1961,316.09
12-1961,317.27
01-1962,318.15
02-1962,318.82
03-1962,319.56
04-1962,320.67
05-1962,321.21
06-1962,320.6
07-1962,319.22
08-1962,317.31
09-1962,315.7
10-1962,315.61
11-1962,316.77
12-1962,317.93
01-1963,318.78
02-1963,319.43
03-1963,320.16
04-1963,321.26
05-1963,321.79
06-1963,321.17
07-1963,319.77
08-1963,317.85
09-1963,316.23
10-1963,316.14
11-1963,317.31
12-1963,318.48
01-1964,319.34
02-1964,320
03-1964,320.75
04-1964,321.84
05-1964,322.34
06-1964,321.68
07-1964,320.26
08-1964,318.31
09-1964,316.67
10-1964,316.58
11-1964,317.72
12-1964,318.86
01-1965,319.7
02-1965,320.35
03-1965,321.08
04-1965,322.19
05-1965,322.75
06-1965,322.16
07-1965,320.82
08-1965,318.94
09-1965,317.39
10-1965,317.37
11-1965,318.62
12-1965,319.87
01-1966,320.81
02-1966,321.54
03-1966,322.34
04-1966,323.5
05-1966,324.09
06-1966,323.51
07-1966,322.14
08-1966,320.22
09-1966,318.61
10-1966,318.55
11-1966,319.75
12-1966,320.94
01-1967,321.82
02-1967,322.49
03-1967,323.23
04-1967,324.34
05-1967,324.89
06-1967,324.26
07-1967,322.86
08-1967,320.93
09-1967,319.32
10-1967,319.26
11-1967,320.48
12-1967,321.69
01-1968,322.59
02-1968,323.29
03-1968,324.09
04-1968,325.24
05-1968,325.8
06-1968,325.2
07-1968,323.84
08-1968,321.95
09-1968,320.39
10-1968,320.4
11-1968,321.67
12-1968,322.94
01-1969,323.91
02-1969,324.67
03-1969,325.5
04-1969,326.7
05-1969,327.33
06-1969,326.78
07-1969,325.43
08-1969,323.53
09-1969,321.93
10-1969,321.89
11-1969,323.12
12-1969,324.35
01-1970,325.26
02-1970,325.96
03-1970,326.74
04-1970,327.88
05-1970,328.45
06-1970,327.84
07-1970,326.44
08-1970,324.49
09-1970,322.85
10-1970,322.77
11-1970,323.97
12-1970,325.16
01-1971,326.03
02-1971,326.69
03-1971,327.43
04-1971,328.55
05-1971,329.11
06-1971,328.48
07-1971,327.07
08-1971,325.12
09-1971,323.48
10-1971,323.42
11-1971,324.65
12-1971,325.88
01-1972,326.8
02-1972,327.52
03-1972,328.35
04-1972,329.53
05-1972,330.14
06-1972,329.57
07-1972,328.24
08-1972,326.39
09-1972,324.88
10-1972,324.96
11-1972,326.33
12-1972,327.69
01-1973,328.74
02-1973,329.58
03-1973,330.47
04-1973,331.74
05-1973,332.42
06-1973,331.88
07-1973,330.53
08-1973,328.6
09-1973,326.96
10-1973,326.87
11-1973,328.07
12-1973,329.25
01-1974,330.11
02-1974,330.76
03-1974,331.5
04-1974,332.61
05-1974,333.15
06-1974,332.5
07-1974,331.05
08-1974,329.06
09-1974,327.38
10-1974,327.3
11-1974,328.53
12-1974,329.76
01-1975,330.67
02-1975,331.39
03-1975,332.18
04-1975,333.36
05-1975,333.96
06-1975,333.35
07-1975,331.95
08-1975,329.99
09-1975,328.35
10-1975,328.31
11-1975,329.56
12-1975,330.82
01-1976,331.74
02-1976,332.46
03-1976,333.27
04-1976,334.43
05-1976,334.99
06-1976,334.34
07-1976,332.91
08-1976,330.95
09-1976,329.33
10-1976,329.32
11-1976,330.62
12-1976,331.94
01-1977,332.95
02-1977,333.76
03-1977,334.64
04-1977,335.92
05-1977,336.61
06-1977,336.08
07-1977,334.74
08-1977,332.84
09-1977,331.26
10-1977,331.27
11-1977,332.59
12-1977,333.91
01-1978,334.9
02-1978,335.67
03-1978,336.51
04-1978,337.73
05-1978,338.36
06-1978,337.76
07-1978,336.35
08-1978,334.38
09-1978,332.73
10-1978,332.69
11-1978,333.97
12-1978,335.25
01-1979,336.21
02-1979,336.96
03-1979,337.79
04-1979,339.02
05-1979,339.65
06-1979,339.08
07-1979,337.69
08-1979,335.75
09-1979,334.14
10-1979,334.15
11-1979,335.5
12-1979,336.84
01-1980,337.87
02-1980,338.68
03-1980,339.59
04-1980,340.85
05-1980,341.49
06-1980,340.9
07-1980,339.5
08-1980,337.55
09-1980,335.92
10-1980,335.92
11-1980,337.22
12-1980,338.5
01-1981,339.47
02-1981,340.21
03-1981,341.03
04-1981,342.22
05-1981,342.82
06-1981,342.18
07-1981,340.73
08-1981,338.73
09-1981,337.06
10-1981,337.03
11-1981,338.34
12-1981,339.64
01-1982,340.62
02-1982,341.37
03-1982,342.19
04-1982,343.39
05-1982,343.99
06-1982,343.34
07-1982,341.88
08-1982,339.86
09-1982,338.17
10-1982,338.13
11-1982,339.44
12-1982,340.77
01-1983,341.79
02-1983,342.61
03-1983,343.51
04-1983,344.82
05-1983,345.53
06-1983,345
07-1983,343.63
08-1983,341.7
09-1983,340.08
10-1983,340.09
11-1983,341.44
12-1983,342.78
01-1984,343.78
02-1984,344.56
03-1984,345.45
04-1984,346.69
05-1984,347.3
06-1984,346.68
07-1984,345.24
08-1984,343.25
09-1984,341.6
10-1984,341.6
11-1984,342.94
12-1984,344.27
01-1985,345.28
02-1985,346.06
03-1985,346.92
04-1985,348.16
05-1985,348.79
06-1985,348.16
07-1985,346.7
08-1985,344.67
09-1985,342.97
10-1985,342.92
11-1985,344.21
12-1985,345.52
01-1986,346.49
02-1986,347.26
03-1986,348.1
04-1986,349.35
05-1986,349.99
06-1986,349.39
07-1986,347.96
08-1986,345.96
09-1986,344.29
10-1986,344.28
11-1986,345.62
12-1986,346.97
01-1987,347.99
02-1987,348.81
03-1987,349.7
04-1987,351.01
05-1987,351.72
06-1987,351.19
07-1987,349.83
08-1987,347.92
09-1987,346.34
10-1987,346.42
11-1987,347.86
12-1987,349.3
01-1988,350.41
02-1988,351.29
03-1988,352.27
04-1988,353.6
05-1988,354.29
06-1988,353.73
07-1988,352.33
08-1988,350.35
09-1988,348.72
10-1988,348.73
11-1988,350.08
12-1988,351.42
01-1989,352.41
02-1989,353.18
03-1989,354.02
04-1989,355.25
05-1989,355.88
06-1989,355.24
07-1989,353.77
08-1989,351.71
09-1989,350
10-1989,349.96
11-1989,351.28
12-1989,352.61
01-1990,353.6
02-1990,354.37
03-1990,355.2
04-1990,356.44
05-1990,357.07
06-1990,356.45
07-1990,354.99
08-1990,352.97
09-1990,351.29
10-1990,351.3
11-1990,352.68
12-1990,354.06
01-1991,355.1
02-1991,355.91
03-1991,356.78
04-1991,358.04
05-1991,358.66
06-1991,357.99
07-1991,356.47
08-1991,354.37
09-1991,352.6
10-1991,352.52
11-1991,353.82
12-1991,355.12
01-1992,356.08
02-1992,356.82
03-1992,357.67
04-1992,358.88
05-1992,359.44
06-1992,358.72
07-1992,357.16
08-1992,355.02
09-1992,353.24
10-1992,353.15
11-1992,354.42
12-1992,355.7
01-1993,356.64
02-1993,357.37
03-1993,358.19
04-1993,359.41
05-1993,360.03
06-1993,359.37
07-1993,357.87
08-1993,355.81
09-1993,354.1
10-1993,354.1
11-1993,355.5
12-1993,356.9
01-1994,357.96
02-1994,358.81
03-1994,359.72
04-1994,361.03
05-1994,361.73
06-1994,361.14
07-1994,359.71
08-1994,357.7
09-1994,356.04
10-1994,356.07
11-1994,357.5
12-1994,358.93
01-1995,360.01
02-1995,360.87
03-1995,361.79
04-1995,363.11
05-1995,363.81
06-1995,363.23
07-1995,361.78
08-1995,359.75
09-1995,358.07
10-1995,358.08
11-1995,359.5
12-1995,360.9
01-1996,361.96
02-1996,362.78
03-1996,363.7
04-1996,364.98
05-1996,365.61
06-1996,364.95
07-1996,363.43
08-1996,361.33
09-1996,359.58
10-1996,359.53
11-1996,360.86
12-1996,362.18
01-1997,363.17
02-1997,363.93
03-1997,364.78
04-1997,366.05
05-1997,366.7
06-1997,366.07
07-1997,364.61
08-1997,362.58
09-1997,360.92
10-1997,361
11-1997,362.5
12-1997,364.02
01-1998,365.2
02-1998,366.15
03-1998,367.17
04-1998,368.62
05-1998,369.42
06-1998,368.93
07-1998,367.56
