Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
China,CHN,3218.45,3158.95,3306.65,3525.61,3691.72,4019.32,4116.75,4083.43,4170.62,4102.97,4371.05,4504.52,4834.86,5520.38,6288.66,6974.05,7691.83,8185.07,8455.12,8939.83,9473.05,10304.13,10684.29
United States,USA,5743.98,5616.81,5682.55,5811.11,5900.51,5957.92,6121.12,6291.25,6281.11,6308.6,6486.66,6380.79,6311.58,6381.66,6495.93,6480.32,6363.55,6474.17,6288.51,5901.05,6147.41,6024.39,5822.87
European Union,EUU,5138.52,4970.74,4843.88,4718.14,4671.49,4696.56,4800.79,4701.33,4686.33,4606.37,4608.54,4617.3,4575.44,4674.06,4663.99,4627.5,4690.31,4637.79,4526.06,4192.25,4295.1,4161.1,4122.64
India,IND,1212.02,1248.47,1287.54,1319.33,1370.37,1440.4,1500.14,1558.45,1588.87,1669.64,1720.19,1638.91,1668.89,1720.32,1823.31,1914.46,2076.47,2224.2,2328.86,2541.04,2647.93,2755.75,2887.08
Russian Federation,RUS,2776.78,2741.83,2831.5,2735.36,2468.71,2374.02,2340.5,2182.48,2213.3,2212.59,2263.53,2108.72,2139.54,2249.06,2135.82,2163.4,2060.41,2056.46,2227.41,2007.73,2090.23,2180.63,2254.47
Indonesia,IDN,1025.74,1064.55,1103.85,1141.17,1175.35,1227.05,1249.8,1433.5,1355.47,1359.52,1372.32,1529.38,1584.98,1570.93,1600.83,1583.83,1967.28,1912.41,1902.9,1959.49,1928.02,1950.71,1981
Brazil,BRA,1606.59,1617.9,1629.96,1642.26,1661.75,1688.95,1698.06,1731.28,1764.39,1774.9,1778.98,1945.29,1972.63,1987.26,2029.87,2056.99,1632.56,1685.57,1677.16,1661.52,1773.77,1768.75,1823.15
Japan,JAN,1116.38,1127.66,1139.9,1137.75,1194.89,1209.94,1225.89,1221.11,1184.19,1223.85,1239.32,1195.85,1228.66,1232.46,1231.2,1237.4,1184.84,1219.29,1130.22,1067.52,1114.25,1164.83,1207.3
Canada,CAN,681.93,602.98,617.57,620.05,640.25,656.55,665.42,670.46,741.44,707.24,707,922.67,984.46,1002.78,979.19,989.37,852.38,872.57,862.57,796.02,860.2,843.09,856.28
Mexico,MEX,477.07,491.61,497.5,502.58,528.41,515.61,537.13,559.34,593.34,584.93,607.18,608.42,622.05,642.5,652.22,685.04,695.88,718,726.33,712.89,728.7,748.94,748.91
World,WLD,33937.21,33280.6,33295.26,33408.58,33628.93,34309.97,34980.05,35412.7,35683.95,35828.68,36679.72,37366.04,38123.23,39449.47,40841.06,42000.97,42779.41,43915.81,44372.42,44002.56,45747.71,46905.72,47598.55
