Year,January,February,March,April,May,June,July,August,September,October,November,December
1880,-29,-20,-18,-27,-14,-28,-23,-7,-16,-16,-18,-21
1881,-9,-13,1,-3,-4,-28,-6,-2,-8,-19,-26,-15
1882,10,9,2,-20,-17,-25,-9,4,0,-22,-20,-24
1883,-33,-41,-17,-24,-25,-11,-7,-12,-18,-11,-19,-17
1884,-17,-11,-33,-35,-31,-37,-33,-25,-22,-21,-29,-28
1885,-63,-28,-23,-43,-40,-49,-27,-26,-18,-18,-21,-4
1886,-40,-44,-40,-29,-26,-38,-15,-30,-18,-24,-24,-23
1887,-64,-47,-30,-36,-32,-19,-17,-26,-18,-31,-25,-37
1888,-42,-41,-46,-27,-21,-19,-8,-10,-6,3,1,-11
1889,-18,16,5,5,-2,-11,-3,-16,-17,-21,-29,-28
1890,-46,-46,-40,-37,-47,-26,-28,-35,-35,-21,-36,-29
1891,-44,-47,-14,-25,-16,-21,-20,-20,-12,-22,-36,0
1892,-25,-13,-35,-34,-23,-18,-26,-18,-24,-15,-48,-27
1893,-66,-50,-23,-31,-33,-22,-12,-22,-17,-15,-15,-36
1894,-53,-30,-20,-40,-29,-42,-30,-26,-21,-15,-23,-20
1895,-42,-41,-28,-21,-22,-23,-15,-14,-1,-9,-14,-10
1896,-22,-14,-29,-31,-19,-13,-5,-8,-3,5,-14,-11
1897,-21,-18,-10,0,1,-11,-3,-2,-3,-8,-16,-24
1898,-5,-32,-54,-32,-34,-19,-21,-21,-18,-30,-34,-20
1899,-16,-38,-34,-19,-19,-24,-11,-2,1,2,14,-25
1900,-38,-6,3,-14,-5,-14,-7,-2,3,10,-11,-13
1901,-28,-4,6,-4,-16,-9,-7,-11,-15,-28,-16,-28
1902,-18,-2,-28,-26,-29,-33,-24,-26,-20,-26,-35,-45
1903,-26,-5,-22,-39,-40,-43,-28,-42,-41,-40,-38,-46
1904,-63,-54,-45,-49,-50,-48,-47,-42,-46,-34,-16,-28
1905,-36,-58,-23,-35,-32,-30,-23,-19,-13,-21,-7,-20
1906,-29,-32,-14,-1,-19,-20,-24,-17,-24,-19,-37,-16
1907,-42,-51,-23,-39,-45,-42,-33,-36,-31,-23,-50,-48
1908,-44,-34,-57,-45,-39,-37,-33,-44,-32,-42,-50,-49
