year,Anthropogenic tropospheric aerosol,Greenhouse gases,Land use,Orbital changes,Ozone,Solar,Volcanic
1850,6,7,2,5,1,2,4
1851,3,6,7,2,5,4,1
1852,2,7,3,5,6,4,1
1853,7,6,2,4,3,5,1
1854,6,7,4,2,3,5,1
1855,2,7,4,5,3,6,1
1856,5,7,3,1,2,6,4
1857,1,6,5,3,4,2,7
1858,1,5,6,2,4,3,7
1859,5,7,4,3,1,2,6
1860,7,4,6,5,1,3,2
1861,7,6,5,3,4,2,1
1862,1,7,6,3,5,4,2
1863,7,5,3,2,1,6,4
1864,6,5,1,4,3,7,2
1865,5,7,3,4,2,6,1
1866,6,7,2,4,3,5,1
1867,2,4,3,5,6,7,1
1868,2,7,4,3,5,6,1
1869,6,3,5,4,2,7,1
1870,7,3,4,6,1,5,2
1871,5,4,2,6,3,7,1
1872,6,4,1,2,7,5,3
1873,4,5,2,3,7,6,1
1874,4,1,5,7,2,6,3
1875,7,2,6,4,3,5,1
1876,5,3,4,2,7,6,1
1877,3,4,2,5,6,7,1
1878,3,1,4,5,6,7,2
1879,5,1,2,3,4,7,6
1880,7,1,2,4,5,6,3
1881,3,1,6,5,7,4,2
1882,6,2,4,5,7,3,1
1883,3,1,1,5,7,4,6
1884,6,1,4,3,5,2,7
1885,6,3,2,4,5,1,7
1886,4,1,3,6,5,2,7
1887,6,1,2,4,5,3,7
1888,6,1,2,3,5,4,7
1889,6,2,1,5,4,3,7
1890,7,1,3,4,5,2,6
1891,5,1,4,2,6,3,7
1892,6,1,2,4,5,3,7
1893,5,1,2,3,6,4,7
1894,7,2,6,5,4,3,7
1895,7,1,6,4,5,2,3
1896,7,1,5,4,6,3,2
1897,7,1,5,4,6,3,2
1898,6,1,7,3,5,4,2
1899,4,1,7,2,6,3,5
1900,6,1,5,3,7,4,2
1901,6,1,7,2,5,4,3
1902,6,1,7,2,5,4,3
1903,6,1,3,2,4,5,7
1904,5,1,4,3,2,6,7
1905,6,1,5,2,3,4,7
1906,6,1,2,4,3,7,5
1907,7,1,2,4,3,5,6
1908,7,1,2,4,3,5,6
1909,7,1,3,5,4,6,2
1910,7,1,5,2,6,4,3
1911,6,1,7,3,5,4,2
1912,5,1,4,6,3,7,2
1913,5,1,3,2,4,6,7
1914,4,1,2,3,5,6,7
1915,4,1,7,5,3,6,2
1916,6,1,4,5,3,7,2
1917,5,1,2,7,3,6,4
1918,6,1,2,7,3,5,4
1919,7,1,3,4,6,2,5
1920,3,1,2,7,6,4,5
1921,7,1,4,6,3,5,2
1922,6,1,5,7,4,3,2
1923,6,1,5,7,3,4,2
1924,6,1,3,7,5,4,2
1925,6,1,5,7,3,4,2
1926,7,1,4,6,5,3,2
1927,6,1,7,4,3,5,2
1928,7,1,5,6,3,4,2
1929,6,1,3,5,7,4,2
1930,7,1,6,5,4,3,2
1931,7,1,6,5,3,2,4
1932,7,1,4,3,2,6,5
1933,7,1,2,6,3,4,5
1934,7,1,4,5,3,6,2
1935,7,1,5,6,2,3,4
1936,7,1,5,6,3,2,4
1937,7,1,6,4,2,3,5
1938,7,1,5,6,2,4,3
1939,7,1,2,6,3,5,4
1940,7,1,4,5,6,3,2
1941,7,1,6,4,2,5,3
1942,7,1,6,3,2,5,4
1943,7,1,6,5,2,4,3
1944,7,1,6,5,2,4,3
1945,7,1,5,4,2,6,3
1946,7,1,5,6,2,4,3
1947,7,1,5,6,2,3,4
1948,7,1,6,5,2,4,3
1949,7,1,6,5,2,4,3
1950,7,1,6,5,4,3,2
1951,7,1,5,6,4,2,3
1952,7,1,6,4,3,2,5
1953,7,1,6,5,3,4,2
1954,7,1,6,5,3,4,2
1955,7,1,6,5,3,4,2
1956,7,1,6,5,4,2,3
1957,7,1,6,5,3,2,4
1958,7,1,6,5,3,4,2
1959,7,1,5,6,3,4,2
1960,7,1,6,5,2,4,3
1961,7,1,6,5,2,3,4
1962,7,1,6,5,2,3,4
1963,7,1,5,4,3,2,6
1964,7,1,5,3,2,4,6
1965,7,1,5,4,2,3,6
1966,7,1,5,4,2,3,6
1967,7,1,5,3,2,4,6
1968,7,1,5,4,2,3,6
1969,7,1,5,4,2,3,6
1970,7,1,5,4,2,3,6
1971,7,1,6,5,2,3,4
1972,7,1,6,5,2,3,4
1973,7,1,6,5,2,4,3
1974,7,1,6,4,2,5,3
1975,7,1,6,2,3,4,5
1976,7,1,5,3,2,4,6
1977,7,1,6,5,2,3,4
1978,7,1,6,4,2,5,3
1979,7,1,6,4,2,5,3
1980,7,1,6,5,2,4,3
1981,7,1,6,3,2,4,5
1982,7,1,6,3,2,4,5
1983,7,1,6,3,2,4,5
1984,7,1,5,4,2,3,6
1985,7,1,6,3,2,4,5
1986,7,1,6,3,2,4,5
1987,7,1,6,4,2,3,5
1988,7,1,6,5,2,3,4
1989,7,1,6,5,2,3,4
1990,7,1,6,5,2,4,3
1991,7,1,6,5,2,3,4
1992,7,1,5,4,2,3,6
1993,7,1,5,4,2,3,6
1994,7,1,5,4,2,3,6
1995,7,1,6,4,2,3,5
1996,7,1,6,4,2,3,5
1997,7,1,6,5,2,4,3
1998,7,1,6,5,2,4,3
1999,7,1,6,5,2,4,3
2000,7,1,6,5,2,4,3
2001,7,1,6,5,2,4,3
2002,7,1,6,5,2,4,3
2003,7,1,6,5,3,4,2
2004,7,1,6,5,3,4,2
2005,7,1,6,5,3,4,2
