date,x,y,t
2/20/11 0:00,-79.1,26.1,2
2/23/11 11:55,-79.062,26.933,2
2/25/11 11:22,-79.095,26.856,2
2/27/11 0:36,-79.104,26.775,2
2/28/11 12:35,-79.085,26.928,2
2/28/11 12:38,-79.074,26.917,2
3/3/11 11:58,-79.051,26.822,3
3/3/11 13:39,-79.061,26.831,3
3/5/11 22:43,-79.119,26.965,3
3/5/11 22:56,-79.109,26.971,3
3/15/11 10:49,-79.137,26.915,3
3/15/11 11:15,-79.065,26.892,3
3/17/11 11:43,-79.055,26.946,3
3/21/11 0:26,-79.014,26.93,3
3/22/11 22:58,-79.035,26.925,3
3/23/11 0:29,-79.032,26.839,3
3/24/11 11:09,-79.047,26.938,3
3/25/11 7:34,-79.096,26.647,3
3/28/11 13:25,-79.077,26.823,3
3/28/11 13:49,-79.072,26.827,3
3/28/11 14:44,-79.074,26.822,3
3/30/11 11:29,-79.063,26.966,3
3/30/11 11:35,-79.103,26.958,3
3/30/11 22:45,-79.312,27.301,3
3/30/11 23:02,-79.337,27.305,3
3/31/11 11:00,-79.402,27.368,3
3/31/11 11:27,-79.516,27.703,3
3/31/11 12:10,-79.528,27.72,3
3/31/11 13:02,-79.538,27.747,3
3/31/11 13:39,-79.553,27.807,3
3/31/11 13:47,-79.53,27.833,3
3/31/11 14:49,-79.54,27.836,3
3/31/11 15:25,-79.563,27.848,3
4/1/11 0:59,-79.572,28.121,4
4/1/11 2:43,-79.585,28.144,4
4/1/11 11:18,-79.615,28.225,4
4/5/11 18:43,-78.801,29.582,4
4/6/11 11:56,-79.223,29.809,4
4/6/11 13:15,-79.272,29.753,4
4/7/11 11:35,-78.96,28.616,4
4/7/11 11:51,-79.037,28.962,4
4/7/11 22:51,-78.822,28.333,4
4/8/11 0:04,-78.874,28.313,4
4/8/11 11:09,-79.071,28.006,4
4/8/11 11:36,-79.084,27.996,4
4/8/11 12:22,-79.072,27.983,4
4/8/11 13:10,-79.085,27.966,4
4/8/11 13:59,-79.087,27.967,4
4/8/11 14:15,-79.11,27.95,4
4/8/11 20:25,-79.115,27.946,4
4/9/11 11:18,-79.176,27.882,4
4/9/11 13:35,-79.179,27.884,4
4/10/11 19:56,-79.44,28.048,4
4/11/11 1:49,-79.138,28.396,4
4/11/11 18:04,-80.217,29.284,4
4/11/11 19:17,-80.233,29.317,4
4/12/11 1:48,-80.335,29.552,4
4/12/11 19:41,-80.682,30.134,4
4/13/11 10:45,-80.598,30.003,4
4/13/11 22:10,-80.437,30.54,4
4/14/11 1:17,-80.756,30.734,4
4/14/11 1:24,-80.543,30.601,4
4/14/11 15:28,-80.48,30.682,4
4/15/11 7:14,-80.438,30.909,4
4/15/11 7:39,-80.998,30.599,4
4/15/11 9:21,-80.993,30.625,4
4/16/11 8:51,-81.074,30.437,4
4/16/11 9:41,-81.051,30.438,4
4/16/11 11:15,-81.047,30.37,4
4/16/11 11:39,-81.003,30.229,4
4/16/11 22:31,-80.931,29.924,4
4/16/11 23:00,-80.95,29.975,4
4/16/11 23:54,-80.859,29.982,4
4/17/11 0:39,-80.846,29.976,4
4/17/11 1:35,-80.823,29.966,4
4/17/11 9:00,-80.832,29.97,4
4/17/11 9:17,-80.658,29.884,4
4/17/11 22:48,-80.124,29.622,4
4/18/11 2:50,-80.29,29.57,4
4/18/11 6:56,-80.346,29.533,4
4/18/11 8:35,-80.287,29.375,4
4/18/11 8:46,-80.287,29.374,4
4/19/11 8:23,-80.289,29.301,4
4/19/11 11:45,-80.323,29.151,4
4/19/11 12:37,-80.307,29.115,4
4/19/11 23:01,-80.371,28.941,4
4/20/11 0:22,-80.319,29.027,4
4/20/11 1:05,-80.307,28.99,4
4/20/11 1:45,-80.325,28.965,4
4/20/11 2:02,-80.331,28.966,4
4/20/11 2:38,-80.327,28.959,4
4/21/11 1:34,-80.323,28.409,4
4/21/11 1:39,-80.122,28.828,4
4/21/11 3:59,-80.262,28.672,4
4/21/11 6:15,-80.28,28.623,4
4/21/11 9:18,-80.284,28.601,4
4/22/11 1:10,-80.27,28.677,4
4/22/11 12:14,-80.176,28.959,4
4/22/11 13:34,-80.233,29.048,4
4/23/11 0:45,-80.288,29.329,4
4/23/11 1:05,-80.289,29.331,4
4/23/11 1:39,-80.296,29.342,4
4/23/11 3:17,-80.312,29.37,4
4/23/11 9:41,-80.3,29.378,4
4/23/11 23:00,-80.428,29.686,4
4/23/11 23:11,-80.46,29.671,4
4/24/11 0:31,-80.475,29.675,4
4/24/11 0:56,-80.485,29.677,4
4/24/11 7:31,-80.549,29.846,4
4/24/11 7:43,-80.53,29.824,4
4/24/11 9:06,-80.543,29.85,4
4/24/11 9:29,-80.549,29.859,4
4/24/11 9:40,-80.534,29.872,4
4/24/11 11:27,-80.552,29.904,4
4/24/11 22:39,-80.655,30.106,4
4/24/11 23:03,-80.658,30.111,4
4/25/11 0:04,-80.512,30.16,4
4/25/11 0:51,-80.491,30.194,4
4/25/11 1:02,-80.489,30.19,4
4/25/11 2:34,-80.442,30.239,4
4/25/11 7:16,-80.402,30.267,4
4/25/11 9:17,-80.461,30.361,4
4/25/11 9:18,-80.464,30.361,4
4/25/11 10:54,-80.417,30.403,4
4/26/11 0:27,-80.392,30.694,4
4/26/11 0:37,-80.394,30.693,4
4/26/11 1:15,-80.387,30.711,4
4/26/11 2:15,-80.388,30.71,4
4/26/11 2:16,-80.385,30.71,4
4/26/11 3:58,-80.366,30.763,4
4/27/11 0:16,-80.159,31.315,4
4/27/11 1:53,-80.142,31.357,4
4/27/11 14:21,-80.161,31.322,4
4/27/11 14:26,-79.913,31.231,4
4/27/11 23:05,-79.729,31.67,4
4/28/11 0:06,-79.912,31.212,4
4/28/11 6:41,-79.893,31.272,4
4/28/11 7:04,-80.043,31.022,4
4/28/11 8:42,-80.072,31.184,4
4/28/11 9:50,-80.17,31.063,4
4/28/11 11:27,-80.111,31.053,4
4/28/11 12:33,-80.111,31.073,4
4/29/11 9:21,-80.211,30.813,4
4/29/11 10:59,-80.233,30.787,4
4/30/11 10:42,-80.32,30.395,4
5/1/11 11:55,-80.718,30.239,5
5/1/11 11:57,-80.586,29.81,5
5/1/11 13:43,-80.597,29.794,5
5/2/11 6:03,-80.642,29.627,5
5/2/11 11:50,-80.658,29.592,5
5/3/11 7:40,-80.838,29.307,5
5/3/11 9:29,-80.82,29.34,5
5/3/11 9:35,-80.545,29.312,5
5/3/11 20:51,-80.587,28.997,5
5/3/11 22:22,-80.525,29.085,5
5/3/11 22:59,-80.499,29.111,5
5/4/11 1:15,-80.196,29.118,5
5/4/11 1:29,-80.189,29.135,5
5/4/11 2:47,-80.193,29.148,5
5/5/11 2:51,-80.205,29.11,5
5/5/11 7:09,-80.282,28.98,5
5/5/11 7:26,-80.245,28.971,5
5/5/11 8:39,-80.259,28.96,5
5/5/11 9:12,-80.258,28.96,5
5/5/11 13:25,-80.268,28.912,5
5/5/11 23:16,-80.178,28.682,5
5/6/11 0:08,-80.177,28.665,5
5/6/11 0:45,-80.159,28.58,5
5/6/11 1:58,-80.155,28.58,5
5/6/11 2:08,-80.14,28.564,5
5/6/11 3:50,-80.121,28.563,5
5/7/11 0:04,-80.063,28.155,5
5/7/11 0:27,-80.041,28.157,5
5/7/11 1:47,-80.032,28.142,5
5/7/11 1:50,-80.027,28.138,5
5/7/11 2:05,-80.027,28.138,5
5/8/11 3:07,-80.002,27.888,5
5/8/11 6:49,-79.998,27.862,5
5/8/11 15:28,-80.076,28.03,5
5/8/11 19:43,-80.079,28.031,5
5/9/11 6:29,-80.112,28.078,5
5/9/11 8:44,-80.078,28.107,5
5/9/11 10:19,-80.077,28.167,5
5/13/11 7:52,-80.061,27.86,5
5/14/11 8:23,-80.068,27.799,5
5/14/11 9:16,-80.026,27.807,5
5/15/11 9:36,-79.682,27.844,5
5/15/11 11:15,-80.006,27.501,5
5/15/11 12:40,-79.994,27.498,5
5/15/11 12:59,-80,27.501,5
5/15/11 14:15,-79.984,27.497,5
5/15/11 20:52,-80.009,27.542,5
5/16/11 0:12,-80.051,27.544,5
5/16/11 1:38,-79.979,27.709,5
5/16/11 7:11,-79.888,27.899,5
5/16/11 9:17,-79.896,27.896,5
5/16/11 12:19,-79.972,28.023,5
5/16/11 12:32,-79.969,28.022,5
5/17/11 1:20,-79.929,28.378,5
5/17/11 1:20,-80.002,28.337,5
5/17/11 8:52,-79.998,28.549,5
5/17/11 10:30,-80.01,28.572,5
5/17/11 12:18,-80.014,28.638,5
5/18/11 6:42,-79.984,28.663,5
5/18/11 8:26,-80.035,28.899,5
5/19/11 13:23,-80.018,29.494,5
5/19/11 13:23,-80.062,29.561,5
5/19/11 22:40,-80.28,29.494,5
5/20/11 0:21,-80.548,29.49,5
5/20/11 10:52,-80.677,29.337,5
5/20/11 11:35,-80.676,29.319,5
5/20/11 13:19,-80.721,29.31,5
5/20/11 14:56,-80.686,29.303,5
5/20/11 22:08,-80.813,29.232,5
5/21/11 2:02,-80.449,29.073,5
5/21/11 10:35,-80.255,28.978,5
5/21/11 11:21,-80.253,28.959,5
5/23/11 9:17,-79.625,29.644,5
5/23/11 11:26,-79.587,29.636,5
5/23/11 12:38,-79.596,29.638,5
5/23/11 13:07,-79.49,29.663,5
5/23/11 15:24,-79.669,29.743,5
5/24/11 10:58,-79.728,30.095,5
5/24/11 14:06,-79.44,29.946,5
5/24/11 18:35,-79.349,29.927,5
5/24/11 23:47,-79.248,29.905,5
5/25/11 0:36,-79.256,29.9,5
5/25/11 1:40,-79.244,29.893,5
5/25/11 7:14,-79.1,29.832,5
5/25/11 10:42,-79.03,29.806,5
5/25/11 12:19,-79.062,29.787,5
5/25/11 12:19,-79.12,29.807,5
5/25/11 16:23,-79.039,29.776,5
5/25/11 18:40,-78.99,29.753,5
5/26/11 10:11,-78.818,30.344,5
5/26/11 11:52,-78.573,29.503,5
