countryCode,country,1930,1960,1990,2012
USA,United States,0,0.5917,0.458,1.108
CHN,China,0,0.459,0.434,1.192
RUS,Russian Federation,0,0.15,0.1416,1.1833
IND,India,0,1.008,1.008,1.291
IDN,Indonesia,0,0.767,0.767,1.134
BRA,Brazil,0,0,0,0
JPN,Japan,0,0.6583,1.0167,1.725
CAN,Canada,0,0.1217,0.0833,1.05
MEX,Mexico,0,1.175,1.1,1.7
AUT,Austria,0,0.22,0.97,0.94
BEL,Belgium,0,0.22,0.97,0.94
BGR,Bulgaria,0,0.22,0.97,0.94
HRV,Croatia,0,0.22,0.97,0.94
CYP,Cyprus,0,0.22,0.97,0.94
CZE,Czech,0,0.22,0.97,0.94
DNK,Denmak,0,0.22,0.97,0.94
EST,Estonia,0,0.22,0.97,0.94
FIN,Finland,0,0.22,0.97,0.94
FRA,France,0,0.22,0.97,0.94
DEU,Germany,0,0.22,0.97,0.94
GRC,Greece,0,0.22,0.97,0.94
HUN,Hungary,0,0.22,0.97,0.94
ISL,Ireland,0,0.22,0.97,0.94
ITA,Italy,0,0.22,0.97,0.94
LVA,Latvia,0,0.22,0.97,0.94
LTU,Lithuania,0,0.22,0.97,0.94
LUX,Luxembourg,0,0.22,0.97,0.94
MLT,Malta,0,0.22,0.97,0.94
NLD,Netherlands,0,0.22,0.97,0.94
POL,Poland,0,0.22,0.97,0.94
PRT,Portugal,0,0.22,0.97,0.94
ROU,Romania,0,0.22,0.97,0.94
SVK,Slovakia,0,0.22,0.97,0.94
SVN,Slovenia,0,0.22,0.97,0.94
ESP,Spain,0,0.22,0.97,0.94
SWE,Sweden,0,0.22,0.97,0.94
GBR,United Kingdom,0,0.22,0.97,0.94
